task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_186_0,MRSG_MAP,14,15.118,END,0.000
0_175_0,MRSG_MAP,15,15.121,START,
0_175_0,MRSG_MAP,15,15.124,END,0.000
0_188_0,MRSG_MAP,16,15.126,START,
0_188_0,MRSG_MAP,16,15.129,END,0.000
0_189_0,MRSG_MAP,17,15.130,START,
0_189_0,MRSG_MAP,17,15.133,END,0.000
0_190_0,MRSG_MAP,18,15.135,START,
0_190_0,MRSG_MAP,18,15.138,END,0.000
0_179_0,MRSG_MAP,19,15.142,START,
0_179_0,MRSG_MAP,19,15.144,END,0.000
0_180_0,MRSG_MAP,20,15.146,START,
0_180_0,MRSG_MAP,20,15.148,END,0.000
0_193_0,MRSG_MAP,21,15.151,START,
0_193_0,MRSG_MAP,21,15.154,END,0.000
0_183_0,MRSG_MAP,23,15.155,START,
0_183_0,MRSG_MAP,23,15.157,END,0.000
0_184_0,MRSG_MAP,24,15.159,START,
0_184_0,MRSG_MAP,24,15.161,END,0.000
0_197_0,MRSG_MAP,25,15.164,START,
0_197_0,MRSG_MAP,25,15.167,END,0.000
0_192_0,MRSG_MAP,0,18.009,START,
0_192_0,MRSG_MAP,0,18.012,END,0.000
0_203_0,MRSG_MAP,11,18.014,START,
0_203_0,MRSG_MAP,11,18.017,END,0.000
0_194_0,MRSG_MAP,22,18.020,START,
0_194_0,MRSG_MAP,22,18.022,END,0.000
0_198_0,MRSG_MAP,26,18.025,START,
0_198_0,MRSG_MAP,26,18.027,END,0.000
0_187_0,MRSG_MAP,27,18.030,START,
0_187_0,MRSG_MAP,27,18.033,END,0.000
0_200_0,MRSG_MAP,28,18.034,START,
0_200_0,MRSG_MAP,28,18.036,END,0.000
0_201_0,MRSG_MAP,29,18.040,START,
0_201_0,MRSG_MAP,29,18.043,END,0.000
0_202_0,MRSG_MAP,30,18.044,START,
0_202_0,MRSG_MAP,30,18.047,END,0.000
0_191_0,MRSG_MAP,31,18.051,START,
0_191_0,MRSG_MAP,31,18.053,END,0.000
0_205_0,MRSG_MAP,1,18.055,START,
0_205_0,MRSG_MAP,1,18.057,END,0.000
0_206_0,MRSG_MAP,2,18.060,START,
0_206_0,MRSG_MAP,2,18.062,END,0.000
0_195_0,MRSG_MAP,3,18.065,START,
0_195_0,MRSG_MAP,3,18.068,END,0.000
0_196_0,MRSG_MAP,4,18.070,START,
0_196_0,MRSG_MAP,4,18.073,END,0.000
0_209_0,MRSG_MAP,5,18.075,START,
0_209_0,MRSG_MAP,5,18.078,END,0.000
0_210_0,MRSG_MAP,6,18.081,START,
0_210_0,MRSG_MAP,6,18.083,END,0.000
0_199_0,MRSG_MAP,7,18.086,START,
0_199_0,MRSG_MAP,7,18.088,END,0.000
0_212_0,MRSG_MAP,8,18.091,START,
0_212_0,MRSG_MAP,8,18.094,END,0.000
0_213_0,MRSG_MAP,9,18.096,START,
0_213_0,MRSG_MAP,9,18.099,END,0.000
0_214_0,MRSG_MAP,10,18.101,START,
0_214_0,MRSG_MAP,10,18.104,END,0.000
0_204_0,MRSG_MAP,12,18.107,START,
0_204_0,MRSG_MAP,12,18.109,END,0.000
0_217_0,MRSG_MAP,13,18.112,START,
0_217_0,MRSG_MAP,13,18.114,END,0.000
0_218_0,MRSG_MAP,14,18.117,START,
0_218_0,MRSG_MAP,14,18.120,END,0.000
0_207_0,MRSG_MAP,15,18.122,START,
0_207_0,MRSG_MAP,15,18.125,END,0.000
0_208_0,MRSG_MAP,16,18.127,START,
0_208_0,MRSG_MAP,16,18.130,END,0.000
0_221_0,MRSG_MAP,17,18.131,START,
0_221_0,MRSG_MAP,17,18.134,END,0.000
0_222_0,MRSG_MAP,18,18.137,START,
0_222_0,MRSG_MAP,18,18.139,END,0.000
0_211_0,MRSG_MAP,19,18.143,START,
0_211_0,MRSG_MAP,19,18.146,END,0.000
0_224_0,MRSG_MAP,20,18.147,START,
0_224_0,MRSG_MAP,20,18.150,END,0.000
0_225_0,MRSG_MAP,21,18.152,START,
0_225_0,MRSG_MAP,21,18.155,END,0.000
0_215_0,MRSG_MAP,23,18.156,START,
0_215_0,MRSG_MAP,23,18.159,END,0.000
0_216_0,MRSG_MAP,24,18.160,START,
0_216_0,MRSG_MAP,24,18.163,END,0.000
0_229_0,MRSG_MAP,25,18.165,START,
0_229_0,MRSG_MAP,25,18.168,END,0.000
0_236_0,MRSG_MAP,0,21.010,START,
0_236_0,MRSG_MAP,0,21.013,END,0.000
0_235_0,MRSG_MAP,11,21.016,START,
0_235_0,MRSG_MAP,11,21.018,END,0.000
0_226_0,MRSG_MAP,22,21.021,START,
0_226_0,MRSG_MAP,22,21.023,END,0.000
0_230_0,MRSG_MAP,26,21.026,START,
0_230_0,MRSG_MAP,26,21.029,END,0.000
0_219_0,MRSG_MAP,27,21.031,START,
0_219_0,MRSG_MAP,27,21.034,END,0.000
0_220_0,MRSG_MAP,28,21.035,START,
0_220_0,MRSG_MAP,28,21.038,END,0.000
0_233_0,MRSG_MAP,29,21.042,START,
0_233_0,MRSG_MAP,29,21.044,END,0.000
0_234_0,MRSG_MAP,30,21.046,START,
0_234_0,MRSG_MAP,30,21.048,END,0.000
0_223_0,MRSG_MAP,31,21.052,START,
0_223_0,MRSG_MAP,31,21.055,END,0.000
0_237_0,MRSG_MAP,1,21.056,START,
0_237_0,MRSG_MAP,1,21.059,END,0.000
0_238_0,MRSG_MAP,2,21.061,START,
0_238_0,MRSG_MAP,2,21.064,END,0.000
0_227_0,MRSG_MAP,3,21.066,START,
0_227_0,MRSG_MAP,3,21.069,END,0.000
0_228_0,MRSG_MAP,4,21.072,START,
0_228_0,MRSG_MAP,4,21.074,END,0.000
0_241_0,MRSG_MAP,5,21.077,START,
0_241_0,MRSG_MAP,5,21.079,END,0.000
0_242_0,MRSG_MAP,6,21.082,START,
